  15.80      0.60693     -0.29460     -0.00511     -0.12687 
  15.90      0.60642     -0.30729     -0.00707      0.11305 
  16.00      0.60571     -0.29598      0.00081      0.01063 
  16.10      0.60579     -0.29492      0.14648      0.03447 
  16.20      0.62044     -0.29147      0.21415     -0.05017 
  16.30      0.64185     -0.29649     -0.19000      0.11587 
  16.40      0.62285     -0.28490     -0.48036      0.19961 
  16.50      0.57482     -0.26494     -0.15095      0.17307 
  16.60      0.55972     -0.24763      0.05573      0.15336 
  16.70      0.56530     -0.23230     -0.04271      0.35907 
  16.80      0.56103     -0.19639      0.00247      0.21247 
  16.90      0.56127     -0.17514      0.35522      0.29257 
  17.00      0.59680     -0.14589      0.06918      0.16591 
  17.10      0.60371     -0.12930     -0.22308      0.33776 
  17.20      0.58140     -0.09552      0.14913      0.39073 
  17.30      0.59632     -0.05645     -0.23152      0.21986 
  17.40      0.57317     -0.03446     -0.55236      0.30570 
  17.50      0.51793     -0.00389     -0.78247      0.54397 
  17.60      0.43968      0.05051     -0.42202      0.56462 
  17.70      0.39748      0.10697     -0.20814      0.78234 
  17.80      0.37667      0.18520     -0.56325      0.41477 
  17.90      0.32034      0.22668     -0.34588      0.46403 
  18.00      0.28575      0.27308     -0.53007      0.08142 
  18.10      0.23275      0.28122     -0.73351      0.16941 
  18.20      0.15939      0.29816     -0.78334      0.01258 
  18.30      0.08106      0.29942     -0.80759      0.13603 
  18.40      0.00030      0.31302     -0.49260      0.36013 
  18.50     -0.04896      0.34904     -0.42278      0.41018 
  18.60     -0.09124      0.39006     -0.14953      0.67947 
  18.70     -0.10619      0.45800     -0.40971      0.71235 
  18.80     -0.14716      0.52924     -0.44433      0.45034 
  18.90     -0.19159      0.57427     -0.68143      0.68043 
  19.00     -0.25974      0.64232     -0.94933      0.55647 
  19.10     -0.35467      0.69796     -0.79758      0.34767 
  19.20     -0.43443      0.73273     -0.68060      0.10033 
  19.30     -0.50249      0.74276     -0.75867     -0.21131 
  19.40     -0.57835      0.72163     -0.44420     -0.47313 
  19.50     -0.62277      0.67432     -0.56690     -0.20265 
  19.60     -0.67946      0.65405     -0.20406      0.04197 
  19.70     -0.69987      0.65825      0.00519      0.12702 
  19.80     -0.69935      0.67095     -0.10290      0.39058 
  19.90     -0.70964      0.71001     -0.30292      0.63315 
  20.00     -0.73993      0.77333     -0.48221      0.37584 
  20.10     -0.78815      0.81091     -0.40114      0.71381 
  20.20     -0.82827      0.88229     -0.70665      0.31820 
  20.30     -0.89893      0.91411     -0.61687      0.22968 
  20.40     -0.96062      0.93708     -0.86915      0.01987 
  20.50     -1.04754      0.93906     -0.47895     -0.18911 
  20.60     -1.09543      0.92015     -0.70484     -0.46060 
  20.70     -1.16591      0.87409     -0.30001     -0.73979 
  20.80     -1.19592      0.80011     -0.62083     -1.00762 
  20.90     -1.25800      0.69935     -0.68547     -0.58563 
  21.00     -1.32654      0.64079     -0.69546     -0.57914 
  21.10     -1.39609      0.58288     -0.28032     -0.26004 
  21.20     -1.42412      0.55687     -0.22577      0.03095 
  21.30     -1.44670      0.55997     -0.05329     -0.05140 
  21.40     -1.45203      0.55483     -0.23451     -0.43020 
  21.50     -1.47548      0.51181     -0.19124     -0.03489 
  21.60     -1.49460      0.50832     -0.25058     -0.23195 
  21.70     -1.51966      0.48512     -0.15925     -0.39842 
  21.80     -1.53559      0.44528     -0.00079     -0.01367 
  21.90     -1.53567      0.44391     -0.05068      0.28996 
  22.00     -1.54073      0.47291     -0.42735      0.60255 
  22.10     -1.58347      0.53316     -0.30596      0.76395 
